,FLIGHT,DISTANCE,CRS_ELAPSED_TIME
162215,GSP|ATL|WN,153.0,55.0
162369,ICT|PHX|WN,870.0,150.0
162370,ICT|STL|WN,392.0,75.0
162494,LAS|EWR|WN,2227.0,300.0
162936,MCO|EWR|WN,937.0,165.0
163428,DAY|MDW|WN,226.0,70.0
174170,JAX|LAS|WN,1965.0,290.0
174231,LAS|JAX|WN,1965.0,255.0
174527,MCO|ABQ|WN,1553.0,230.0
174890,CLE|SEA|UA,2021.0,300.0
175028,AGS|ATL|UA,143.0,61.0
175029,IAH|AGS|UA,821.0,115.0
178219,ABQ|MCO|WN,1553.0,220.0
230785,STL|ATL|F9,484.0,110.0
230843,ORD|CLT|F9,599.0,125.0
230844,CLT|ORD|F9,599.0,134.0
230847,PHL|UST|F9,766.0,143.0
230848,UST|PHL|F9,766.0,135.0
230849,PHL|BNA|F9,675.0,129.0
230850,BNA|PHL|F9,675.0,118.0
230851,CLE|PHX|F9,1737.0,267.0
230852,PHX|CLE|F9,1737.0,225.0
230853,CLE|SEA|F9,2021.0,295.0
230861,SFO|CLE|F9,2161.0,290.0
230863,CLE|SFO|F9,2161.0,325.0
230866,PHL|MSY|F9,1089.0,195.0
230875,ATL|SFO|F9,2139.0,328.0
230877,DEN|LGA|F9,1620.0,229.0
230878,LGA|DEN|F9,1620.0,267.0
230881,PHX|DTW|F9,1671.0,230.0
230882,DTW|PHX|F9,1671.0,268.0
230884,SEA|ORD|F9,1721.0,251.0
230885,ORD|PDX|F9,1739.0,269.0
230888,CLE|PHL|F9,363.0,85.0
230889,PHL|CLE|F9,363.0,95.0
230892,ORD|AUS|F9,977.0,171.0
230893,AUS|ORD|F9,977.0,162.0
230898,LAX|CVG|F9,1900.0,250.0
230900,SFO|ATL|F9,2139.0,289.0
230904,ORD|BNA|F9,409.0,95.0
230905,BNA|ORD|F9,409.0,105.0
230906,ORD|MSP|F9,334.0,100.0
230907,MSP|ORD|F9,334.0,95.0
230910,SEA|CLE|F9,2021.0,268.0
230913,ORD|RDU|F9,646.0,117.0
230914,RDU|ORD|F9,646.0,141.0
230918,CVG|LAX|F9,1900.0,303.0
230930,CLT|MCO|F9,468.0,100.0
230939,MCO|CLT|F9,468.0,104.0
230956,LAS|COS|F9,604.0,110.0
230957,COS|LAS|F9,604.0,125.0
230970,MCO|MSY|F9,551.0,110.0
230971,MSY|MCO|F9,551.0,100.0
231021,ATL|CVG|F9,373.0,84.0
231022,CVG|ATL|F9,373.0,87.0
231023,ATL|RDU|F9,356.0,85.0
231024,RDU|ATL|F9,356.0,95.0
231028,ATL|MKE|F9,669.0,125.0
231029,MKE|ATL|F9,669.0,125.0
231030,ATL|PHX|F9,1587.0,260.0
231031,PHX|ATL|F9,1587.0,225.0
231074,ATL|MCI|F9,692.0,135.0
231075,MCI|ATL|F9,692.0,120.0
231125,PDX|ORD|F9,1739.0,251.0
231137,CVG|IAH|F9,871.0,164.0
231138,IAH|CVG|F9,871.0,145.0
231154,MSY|PHL|F9,1089.0,170.0
231329,ORD|IAD|F9,588.0,111.0
231330,IAD|ORD|F9,588.0,122.0
231331,CLE|PDX|F9,2045.0,297.0
231341,PDX|CLE|F9,2045.0,272.0
231345,ORD|MCI|F9,403.0,100.0
231346,MCI|ORD|F9,403.0,95.0
231359,CVG|SFO|F9,2036.0,310.0
231370,ORD|SEA|F9,1721.0,273.0
231373,PHX|CVG|F9,1569.0,209.0
231381,SFO|CVG|F9,2036.0,270.0
231383,PHL|IND|F9,588.0,125.0
231384,IND|PHL|F9,588.0,110.0
231398,LAX|CLE|F9,2052.0,275.0
231401,ORD|UST|F9,906.0,148.0
231402,UST|ORD|F9,906.0,160.0
231416,CLE|RDU|F9,416.0,94.0
231417,RDU|CLE|F9,416.0,98.0
231424,PHL|RDU|F9,337.0,75.0
231425,RDU|MCO|F9,534.0,113.0
231429,MCO|RDU|F9,534.0,105.0
231430,RDU|PHL|F9,337.0,90.0
231474,ATL|IND|F9,432.0,97.0
231475,IND|ATL|F9,432.0,101.0
231476,ATL|MEM|F9,332.0,85.0
231477,MEM|ATL|F9,332.0,85.0
231484,ATL|IAH|F9,689.0,147.0
231485,IAH|ATL|F9,689.0,130.0
231529,ATL|STL|F9,484.0,105.0
231531,ATL|SLC|F9,1590.0,255.0
231532,SLC|ATL|F9,1590.0,220.0
231533,MCO|BNA|F9,616.0,118.0
231534,BNA|MCO|F9,616.0,108.0
231537,DFW|MKE|F9,853.0,140.0
231538,MKE|DFW|F9,853.0,163.0
231569,TTN|TPA|F9,955.0,160.0
231570,TPA|TTN|F9,955.0,155.0
232217,CLE|LAX|F9,2052.0,303.0
232232,CVG|PHX|F9,1569.0,270.0
238103,FLL|PHL|NK,992.0,156.0
238105,PHL|DTW|NK,453.0,105.0
238106,DTW|PHL|NK,453.0,100.0
