,alpha,flight,l1_ratio
324,0.1,FLL|JFK|B6,0.0
325,0.1,SFO|SEA|AS,0.0
326,0.01,MCI|MDW|WN,0.0
327,0.1,DCA|ORD|AA,0.0
328,0.1,SFO|ONT|OO,0.0
329,0.1,ORD|DCA|AA,0.0
330,1e-06,PNS|ATL|DL,1.0
331,0.01,ATL|PNS|DL,0.0
332,0.1,IAH|ATL|DL,0.0
333,0.1,ONT|SFO|OO,0.0
334,0.1,SLC|DEN|OO,0.0
335,0.1,SAN|SFO|WN,0.0
336,0.1,CLT|DCA|AA,0.0
337,0.1,ATL|IAH|DL,0.0
338,0.1,SFO|SAN|WN,0.0
339,0.01,MKE|ATL|DL,1.0
340,1e-06,JFK|SFO|DL,1.0
341,0.01,ATL|MKE|DL,0.0
342,0.1,AUS|ATL|DL,0.0
343,0.1,LGA|BOS|DL,0.0
344,0.001,ATL|AUS|DL,0.0
345,0.01,SFO|JFK|DL,1.0
346,0.1,SNA|PHX|WN,0.0
347,1e-06,ATL|SFO|DL,0.0
348,1e-06,ATL|SEA|DL,1.0
349,0.1,ATL|CVG|DL,1.0
350,0.1,DEN|EWR|UA,0.5
351,1e-06,SFO|ATL|DL,0.0
352,0.1,BOS|LGA|DL,0.0
353,1e-06,CVG|ATL|DL,1.0
354,0.1,BOS|MCO|B6,0.0
355,0.001,PHX|SNA|WN,0.0
356,0.1,MCO|BOS|B6,0.0
357,1e-06,SEA|ATL|DL,1.0
358,0.1,LAX|MSP|DL,0.0
359,1e-06,ATL|SAT|DL,1.0
360,0.1,CLE|LGA|EV,0.0
361,0.1,SAT|ATL|DL,0.0
362,0.001,SLC|SEA|DL,1.0
363,0.01,MSP|LAX|DL,0.0
364,0.1,LAX|DEN|UA,0.0
365,0.1,COS|DEN|OO,0.0
366,0.1,ORD|BOS|UA,0.0
367,1e-06,SEA|SLC|DL,1.0
368,0.1,DEN|COS|OO,0.0
369,0.1,DEN|SLC|OO,0.0
370,0.1,BOS|ORD|UA,0.0
371,0.1,PHL|MCO|AA,0.0
372,0.1,MCO|PHL|AA,0.0
373,0.01,BOS|DFW|AA,1.0
374,0.1,CLT|RDU|AA,0.0
375,0.1,MIA|BOS|AA,0.0
376,0.1,BWI|MHT|WN,0.0
377,0.1,SFO|SAN|UA,0.0
378,1e-06,MHT|BWI|WN,0.0
379,0.1,RDU|CLT|AA,0.0
380,0.1,BOS|MIA|AA,0.0
381,0.1,CLT|BWI|AA,0.0
382,1e-06,IAD|DEN|UA,1.0
383,0.1,DEN|LAX|WN,0.0
384,0.1,LGA|MSP|DL,0.0
385,0.1,LAX|DEN|WN,0.0
386,0.1,MSP|LGA|DL,0.0
387,0.1,BWI|CLT|AA,0.0
388,0.01,MDW|PHX|WN,0.0
389,0.01,PHX|MDW|WN,1.0
390,0.1,DAL|MSY|WN,0.0
391,0.1,LAX|LAS|AA,0.0
392,0.1,LAS|LAX|AA,0.0
393,1e-06,BDL|BWI|WN,1.0
394,0.1,IAH|LGA|UA,0.0
395,0.1,ATL|JFK|DL,0.0
396,0.1,MSY|DAL|WN,0.0
397,1e-06,ATL|BDL|DL,1.0
398,0.1,BWI|BDL|WN,0.0
399,1e-06,BDL|ATL|DL,1.0
400,1e-06,DEN|IAD|UA,1.0
401,0.1,LAS|SFO|VX,0.0
402,0.1,JFK|ATL|DL,0.0
403,0.01,EWR|DEN|UA,0.0
404,0.001,LGA|IAH|UA,0.0
405,0.1,SFO|LAS|VX,0.0
406,0.1,LGA|CLE|EV,0.0
407,0.1,MIA|JFK|AA,0.0
408,0.1,TPA|BWI|WN,0.5
409,1e-06,IAD|LAX|UA,1.0
410,1e-06,IAD|ATL|DL,1.0
411,0.1,ATL|IAD|DL,0.5
412,0.1,JFK|MIA|AA,0.0
413,0.1,DFW|BOS|AA,0.0
414,0.01,MSY|IAH|UA,1.0
415,0.1,DFW|MCI|AA,0.0
416,0.1,SFO|BOS|UA,0.0
417,0.1,LAS|SNA|WN,0.0
418,0.1,CLT|FLL|AA,0.0
419,0.1,SNA|LAS|WN,0.0
420,0.1,FLL|CLT|AA,0.0
421,0.1,MCI|DFW|AA,0.0
422,1e-06,LAX|IAD|UA,1.0
423,0.01,MSP|MDW|WN,0.0
424,0.1,DFW|SHV|EV,0.0
425,0.1,MDW|MSP|WN,0.0
426,0.1,SHV|DFW|EV,0.0
427,1e-06,BOS|SFO|UA,0.0
428,0.01,BWI|TPA|WN,0.0
429,0.1,IAH|MCO|UA,0.0
430,0.1,MCO|IAH|UA,0.0
431,0.1,MCI|DAL|WN,0.0
432,0.1,DAL|MCI|WN,0.0
433,0.1,OAK|ONT|WN,0.0
434,0.1,IAH|CLT|AA,0.0
435,1e-06,SEA|MSP|DL,1.0
436,0.1,ONT|OAK|WN,0.0
437,1e-06,GSO|ATL|DL,1.0
438,1e-06,MSP|SEA|DL,0.0
439,0.1,ATL|GSO|DL,0.0
440,1e-06,SEA|SNA|AS,1.0
441,0.1,CLT|IAH|AA,0.0
442,1e-06,SNA|SEA|AS,1.0
443,0.1,SNA|SMF|WN,0.0
444,0.1,DAL|DEN|WN,0.0
445,0.1,DFW|BTR|EV,0.0
446,0.01,LAS|MSP|DL,0.0
447,1e-06,MSP|LAS|DL,1.0
448,0.1,BTR|DFW|EV,0.0
449,0.1,DAL|MDW|WN,0.0
450,0.1,SMF|SNA|WN,0.0
451,0.1,ATL|GSP|DL,0.0
452,0.001,GSP|ATL|DL,0.0
453,0.1,MDW|STL|WN,0.0
454,0.1,JFK|BUF|B6,0.0
455,0.1,LGA|MCO|DL,0.5
456,0.1,BUF|JFK|B6,0.0
457,0.1,MDW|DAL|WN,0.0
458,0.1,LGA|MDW|WN,0.0
459,0.1,MSY|DFW|AA,0.0
460,0.1,PHL|MIA|AA,0.0
461,0.1,DFW|MSY|AA,0.0
462,0.1,MIA|PHL|AA,0.0
463,0.1,ATL|MGM|EV,0.0
464,0.1,PDX|LAX|AS,0.0
465,0.1,MCO|LGA|DL,0.0
466,0.1,LAX|PDX|AS,0.5
467,1e-06,ATL|LIT|DL,0.0
468,0.1,STL|MDW|WN,0.0
469,0.1,BUR|SJC|WN,0.0
470,1e-06,LIT|ATL|DL,1.0
471,0.1,SJC|BUR|WN,0.0
472,0.1,BUR|SMF|WN,0.0
473,0.1,DFW|TPA|AA,0.0
474,0.1,MDW|LGA|WN,0.0
475,0.1,MGM|ATL|EV,0.0
476,0.1,DEN|DAL|WN,0.0
477,0.1,TPA|DFW|AA,0.0
478,0.1,TUS|DFW|AA,0.0
479,0.1,SMF|BUR|WN,0.0
480,0.1,IAH|MSY|UA,0.0
481,0.1,MDW|BNA|WN,0.0
482,0.1,EWR|FLL|UA,0.0
483,0.1,TUL|DFW|AA,0.0
484,0.1,DFW|TUS|AA,0.0
485,0.01,DTW|MCO|DL,0.0
486,1e-06,MCO|DTW|DL,1.0
487,0.1,ATL|BTR|EV,0.0
488,0.1,BNA|MDW|WN,0.0
489,0.01,FLL|EWR|UA,1.0
490,0.1,DFW|TUL|AA,0.0
491,0.1,ASE|DEN|OO,0.0
492,0.1,SMF|ONT|WN,0.0
493,0.1,CLT|PIT|AA,0.0
494,0.1,SEA|SJC|AS,0.0
495,0.1,SRQ|ATL|DL,0.0
496,0.1,SJC|SEA|AS,0.0
497,0.1,ONT|SMF|WN,0.0
498,0.1,MDW|ATL|WN,0.0
499,0.1,ATL|SRQ|DL,0.0
500,0.1,SFO|SBA|OO,0.0
501,0.1,DEN|ASE|OO,0.0
502,0.1,SBA|SFO|OO,0.0
503,0.1,LAS|SFO|WN,0.0
504,1e-06,SEA|SAN|AS,0.0
505,0.1,BTR|ATL|EV,0.0
506,0.1,ATL|MDW|WN,0.0
507,0.1,SAN|SEA|AS,0.0
508,0.1,SFO|LAS|WN,0.0
509,0.1,ATL|HSV|DL,0.0
510,0.1,LGA|FLL|DL,0.0
511,0.01,LGA|MIA|DL,0.0
512,1e-06,HSV|ATL|DL,1.0
513,0.1,FLL|LGA|DL,0.0
514,0.1,MCO|ATL|WN,0.0
515,0.1,MIA|LGA|DL,0.0
516,0.01,SLC|LAS|DL,0.0
517,0.01,LAS|SLC|DL,1.0
518,0.001,PIT|CLT|AA,1.0
519,0.1,ATL|MCO|WN,0.0
520,0.1,JAN|ATL|DL,1.0
521,0.1,MCO|EWR|B6,0.0
522,0.1,ATL|JAN|DL,0.0
523,0.001,IAH|LAS|UA,0.0
524,0.1,ORD|SFO|AA,0.0
525,0.1,SEA|BOI|OO,0.0
526,1e-06,ATL|PHX|DL,1.0
527,0.1,EWR|MCO|B6,0.0
528,0.1,BOI|SEA|OO,0.0
529,0.1,SFO|ORD|AA,0.0
530,0.1,MDW|BWI|WN,0.0
531,0.01,LAS|IAH|UA,1.0
532,1e-06,PHX|ATL|DL,1.0
533,0.1,ATL|BWI|WN,0.0
534,0.1,ORD|MCO|UA,0.0
535,0.1,BWI|MDW|WN,0.0
536,1e-06,SLC|PDX|DL,0.0
537,1e-06,PDX|SLC|DL,1.0
538,0.01,BWI|ATL|WN,0.0
539,0.1,PHX|PSP|OO,0.0
540,0.1,PSP|PHX|OO,0.0
541,0.1,EWR|MDW|WN,0.0
542,0.01,HOU|MDW|WN,0.0
543,0.1,MDW|HOU|WN,0.0
544,0.1,OAK|SEA|WN,0.0
545,0.1,BWI|RDU|WN,0.0
546,1e-06,MSP|SLC|DL,1.0
547,0.1,SEA|OAK|WN,0.0
548,0.1,SLC|MSP|DL,1.0
549,0.01,MSP|BOS|DL,0.0
550,0.1,RDU|BWI|WN,0.0
551,0.1,MCO|ORD|UA,0.0
552,0.01,ECP|ATL|DL,1.0
553,0.1,ORD|DCA|UA,0.0
554,0.1,BOS|MSP|DL,0.0
555,0.1,ATL|ECP|DL,0.5
556,0.1,ATL|TPA|WN,0.0
557,0.1,IAH|DFW|AA,0.0
558,0.01,DCA|ORD|UA,0.0
559,0.1,DFW|IAH|AA,0.0
560,0.1,ORD|MSP|AA,0.0
561,0.1,TPA|ATL|WN,0.0
562,0.1,MDW|EWR|WN,0.0
563,0.1,MSP|ORD|AA,0.0
564,0.1,BOS|FLL|B6,0.0
565,0.1,LGA|FLL|B6,0.0
566,0.1,HPN|ATL|EV,0.0
567,0.1,ATL|HPN|EV,0.0
568,0.1,FLL|BOS|B6,0.0
569,0.1,DEN|MSP|DL,0.0
570,0.1,FLL|LGA|B6,0.0
571,0.1,MSP|DEN|DL,0.0
572,0.1,DTW|DCA|DL,0.0
573,0.1,DCA|DTW|DL,0.0
574,0.1,DFW|MSP|AA,0.0
575,0.1,SJU|MCO|B6,0.0
576,0.1,PHX|PHL|AA,0.0
577,0.1,MCO|SJU|B6,0.0
578,1e-06,DEN|SAN|WN,1.0
579,0.1,DAL|STL|WN,0.0
580,0.1,MSP|DFW|AA,0.0
581,0.1,EWR|PBI|UA,0.0
582,0.1,SFO|PDX|UA,1.0
583,0.1,STL|DAL|WN,0.0
584,0.1,PHX|ABQ|WN,0.0
585,1e-06,PHL|PHX|AA,1.0
586,0.1,PHX|ONT|WN,0.0
587,0.1,ABQ|PHX|WN,0.0
588,0.1,PBI|EWR|UA,0.0
589,0.1,TPA|MIA|AA,0.0
590,0.1,PHX|LAX|AA,0.0
591,0.1,SAN|DEN|WN,0.0
592,0.1,PHX|SLC|WN,0.0
593,0.1,SFO|LAX|AA,0.0
594,0.1,LAX|SFO|AA,0.0
595,1e-06,SLC|PHX|WN,0.0
596,0.1,LAX|JFK|VX,0.0
597,0.1,LAX|PHX|AA,0.0
598,0.1,PHX|BUR|WN,0.0
599,0.1,ONT|PHX|WN,0.0
600,0.1,PDX|SFO|UA,0.0
601,0.1,MIA|TPA|AA,0.0
602,1e-06,JFK|LAX|VX,1.0
603,0.1,DFW|SLC|AA,0.0
604,0.1,SFO|JFK|B6,0.0
605,0.1,JFK|SFO|B6,1.0
606,0.1,SLC|DEN|WN,0.0
607,0.1,HOU|DEN|WN,0.0
608,0.1,SFO|SLC|OO,0.0
609,0.1,CMH|MDW|WN,0.0
610,0.1,BUR|PHX|WN,0.0
611,0.1,SLC|DFW|AA,0.0
612,0.1,MDW|CMH|WN,0.0
613,0.1,MSP|SFO|DL,0.0
614,1e-06,MSP|PHX|DL,1.0
615,0.1,MDW|LAX|WN,0.0
616,0.1,DEN|HOU|WN,0.0
617,0.1,DEN|SLC|WN,0.0
618,0.1,JFK|SJU|B6,0.0
619,0.01,SFO|MSP|DL,1.0
620,1e-06,LAX|DTW|DL,1.0
621,1e-06,ATL|SAN|DL,1.0
622,0.1,SJU|JFK|B6,0.0
623,0.01,PHX|MSP|DL,0.5
624,0.01,DTW|LAX|DL,1.0
625,1e-06,ATL|HOU|DL,1.0
626,1e-06,SAN|ATL|DL,1.0
627,0.1,HOU|ATL|DL,1.0
628,0.1,BWI|BNA|WN,0.0
629,0.1,PHX|OAK|WN,0.0
630,1e-06,EWR|LAS|UA,1.0
631,0.1,BNA|BWI|WN,0.0
632,0.1,CLT|LAX|AA,0.0
633,0.01,OAK|PHX|WN,0.0
634,1e-06,ATL|OKC|DL,1.0
635,0.1,LAX|MDW|WN,0.0
636,0.1,DEN|LGA|UA,0.0
637,0.1,LAX|CLT|AA,0.0
638,0.001,ATL|VPS|DL,0.0
639,0.1,BUR|SFO|OO,0.0
640,1e-06,OKC|ATL|DL,1.0
641,0.1,CLT|JFK|AA,0.0
642,0.1,MSP|ORD|UA,0.0
643,1e-06,VPS|ATL|DL,1.0
644,0.1,YUM|PHX|OO,0.0
645,0.01,PHX|YUM|OO,1.0
646,0.01,PHL|MDW|WN,0.0
647,0.1,SFO|SAN|VX,0.0
648,0.1,SFO|BUR|OO,0.0
649,0.1,EWR|DCA|EV,0.0
650,0.1,PHX|LAS|AA,0.0
651,0.1,SAN|SFO|VX,0.0
652,1e-06,LAS|EWR|UA,1.0
653,0.1,JFK|CLT|AA,0.0
654,1e-06,DTW|FLL|DL,1.0
655,0.1,PDX|OAK|WN,0.0
656,0.1,OAK|PDX|WN,0.0
657,0.1,FLL|DFW|AA,0.0
658,0.001,FLL|DTW|DL,0.0
659,0.1,LAS|PHX|AA,0.0
